title,date,doi,parent_doi,proceedings_doi,type
IODP Expedition 361 Magnetic susceptibility (whole round),2020-01-27,https://doi.org/10.5281/zenodo.3641925,https://doi.org/10.5281/zenodo.3641924,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Magnetic susceptibility (section half),2020-01-27,https://doi.org/10.5281/zenodo.3641927,https://doi.org/10.5281/zenodo.3641926,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Natural gamma radiation,2020-01-27,https://doi.org/10.5281/zenodo.3641931,https://doi.org/10.5281/zenodo.3641930,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Bathymetry,2020-01-27,https://doi.org/10.5281/zenodo.3641933,https://doi.org/10.5281/zenodo.3641932,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Towed magnetometer,2020-01-27,https://doi.org/10.5281/zenodo.3641935,https://doi.org/10.5281/zenodo.3641934,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Rig instrumentation,2020-01-27,https://doi.org/10.5281/zenodo.3641940,https://doi.org/10.5281/zenodo.3641939,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 P-wave velocity caliper (section/discrete),2020-01-27,https://doi.org/10.5281/zenodo.3641942,https://doi.org/10.5281/zenodo.3641941,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 P-wave velocity logger (whole round),2020-01-27,https://doi.org/10.5281/zenodo.3641946,https://doi.org/10.5281/zenodo.3641945,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 RGB channels (calculated from core photos),2020-01-27,https://doi.org/10.5281/zenodo.3641950,https://doi.org/10.5281/zenodo.3641949,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Color reflectance,2020-01-27,https://doi.org/10.5281/zenodo.3641954,https://doi.org/10.5281/zenodo.3641953,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Salinity,2020-01-27,https://doi.org/10.5281/zenodo.3641956,https://doi.org/10.5281/zenodo.3641955,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Sample report,2020-01-27,https://doi.org/10.5281/zenodo.3641958,https://doi.org/10.5281/zenodo.3641957,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Section summary,2020-01-27,https://doi.org/10.5281/zenodo.3641962,https://doi.org/10.5281/zenodo.3641961,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Scanning electron microscope images,2020-01-27,https://doi.org/10.5281/zenodo.3641964,https://doi.org/10.5281/zenodo.3641963,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Spectrophotometry,2020-01-27,https://doi.org/10.5281/zenodo.3641967,https://doi.org/10.5281/zenodo.3641966,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Magnetic remanence (spinner),2020-01-27,https://doi.org/10.5281/zenodo.3641971,https://doi.org/10.5281/zenodo.3641970,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
IODP Expedition 361 Magnetic remanence (SRM-longcore),2020-01-27,https://doi.org/10.5281/zenodo.3641973,https://doi.org/10.5281/zenodo.3641972,https://doi.org/10.14379/iodp.proc.361.2017,info:eu-repo/semantics/other
